_b_tipo_prop,_c_tipo_oper,_d_prov_data,_e_partido_data,_f_localidad_data,_g_barrio_data,_h_dormi,_i_currency,_j_prop_price,_k_sup_prop,_l_old_prop,_m_dispo_prop,_n_bath_amount,_o_link_prop,_z_title
Departamento,Venta,Buenos Aires,Tigre,Nordelta,,3,$,43782378,137 m²,Frente,2,,https://www.argenprop.com/departamento-en-venta-en-nordelta--7283451,"Departamento en Venta en Nordelta, Tigre"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Otros barrios de Nordelta,1,USD,150000,52 m²,1,,,https://www.argenprop.com/departamento-en-venta-en-otros-barrios-de-nordelta-2-ambientes--6568937,"Departamento en Venta en Otros barrios de Nordelta, Nordelta"
Casa,Venta,Buenos Aires,Tigre,Nordelta,Otros barrios de Nordelta,4,USD,1500000,500 m²,A Estrenar,6,,https://www.argenprop.com/casa-en-venta-en-otros-barrios-de-nordelta--7102452,"Casa en Venta en Otros barrios de Nordelta, Nordelta"
Casa,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Los Lagos,4,USD,599000,"265,83 m²",A Estrenar,6,,https://www.argenprop.com/casa-en-venta-en-nordelta-los-lagos--5997573,"Casa en Venta en Nordelta Los Lagos, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Terrazas de la Bahia,,USD,85000,36 m²,4 años,Apto Profesional,Frente,https://www.argenprop.com/departamento-en-venta-en-nordelta-terrazas-de-la-bahia-1-ambiente--6753816,"Departamento en Venta en Nordelta Terrazas de la Bahia, Nordelta"
Casa,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Los Lagos,4,USD,1197000,348 m²,A Estrenar,5,Con dependencia,https://www.argenprop.com/casa-en-venta-en-nordelta-los-lagos-5-ambientes--6178167,"Casa en Venta en Nordelta Los Lagos, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Wyndham Condominios,1,USD,169000,60 m²,9 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-nordelta-wyndham-condominios-2-ambientes--7815191,"Departamento en Venta en Nordelta Wyndham Condominios, Nordelta"
Casa,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Los Alisos,3,USD,368000,215 m²,A Estrenar,3,,https://www.argenprop.com/casa-en-venta-en-nordelta-los-alisos-4-ambientes--6538764,"Casa en Venta en Nordelta Los Alisos, Nordelta"
Oficina,Venta,Buenos Aires,Tigre,Nordelta,,,USD,300000,127 m²,Con cochera,,,https://www.argenprop.com/oficina-en-venta-en-nordelta--5263034,"Oficina en Venta en Nordelta, Tigre"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Vista Bahía,1,USD,110000,35 m²,5 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-nordelta-vista-bahia-2-ambientes--7763475,"Departamento en Venta en Nordelta Vista Bahía, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,,3,USD,260000,"17,61 m²",5 años,Frente,3,https://www.argenprop.com/departamento-en-venta-en-nordelta-4-ambientes--7074258,"Departamento en Venta en Nordelta, Tigre"
Casa,Venta,Buenos Aires,Tigre,Nordelta,Otros barrios de Nordelta,4,USD,510000,148 m²,A Estrenar,3,Con dependencia,https://www.argenprop.com/casa-en-venta-en-otros-barrios-de-nordelta-5-ambientes--7443854,"Casa en Venta en Otros barrios de Nordelta, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Otros barrios de Nordelta,1,USD,155000,46 m²,A Estrenar,1,,https://www.argenprop.com/departamento-en-venta-en-otros-barrios-de-nordelta-2-ambientes--6102007,"Departamento en Venta en Otros barrios de Nordelta, Nordelta"
Departamento,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Lago Escondido,1,USD,135000,65 m²,7 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-nordelta-lago-escondido-2-ambientes--6188746,"Departamento en Venta en Nordelta Lago Escondido, Nordelta"
Casa,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Barrancas Del Lago,4,USD,480000,280 m²,4,,,https://www.argenprop.com/casa-en-venta-en-nordelta-barrancas-del-lago--6008226,"Casa en Venta en Nordelta Barrancas Del Lago, Nordelta"
Local,Alquiler,Buenos Aires,Tigre,Nordelta,,,$,270000,2,,,,https://www.argenprop.com/local-en-alquiler-en-nordelta--7566976,"Local en Alquiler en Nordelta, Tigre"
Oficina,Alquiler,Buenos Aires,Tigre,Nordelta,Nordelta Puerta Norte,,$,46300,82 m²,Con cochera,Excelente,Con seguridad,https://www.argenprop.com/oficina-en-alquiler-en-nordelta-puerta-norte--7775459,"Oficina en Alquiler en Nordelta Puerta Norte, Nordelta"
Departamento,Alquiler,Buenos Aires,Tigre,Nordelta,Otros barrios de Nordelta,1,$,25000,45 m²,1,,,https://www.argenprop.com/departamento-en-alquiler-en-otros-barrios-de-nordelta-2-ambientes--6018064,"Departamento en Alquiler en Otros barrios de Nordelta, Nordelta"
Departamento,Alquiler,Buenos Aires,Tigre,Nordelta,Otros barrios de Nordelta,1,$,26000,55 m²,1,,,https://www.argenprop.com/departamento-en-alquiler-en-otros-barrios-de-nordelta-2-ambientes--5953912,"Departamento en Alquiler en Otros barrios de Nordelta, Nordelta"
Departamento,Alquiler,Buenos Aires,Tigre,Nordelta,Nordelta Islas Del Canal,1,USD,350,46 m²,1,,,https://www.argenprop.com/departamento-en-alquiler-en-nordelta-islas-del-canal-2-ambientes--7566953,"Departamento en Alquiler en Nordelta Islas Del Canal, Nordelta"
Departamento,Alquiler Por Temporada,Buenos Aires,Tigre,Nordelta,,1,USD,1000,71 m²,2,,,https://www.argenprop.com/departamento-en-alquiler-por-temporada-en-nordelta-2-ambientes--7566552,"Departamento en Alquiler Por Temporada en Nordelta, Tigre"
Terreno,Venta,Buenos Aires,Tigre,Nordelta,,,USD,210000,,,,,https://www.argenprop.com/terreno-en-venta-en-nordelta--7380039,"Terreno en Venta en Nordelta, Tigre"
Oficina,Alquiler,Buenos Aires,Tigre,Nordelta,Nordelta Puerta Norte,,$,48750,68 m²,Con cochera,Excelente,Con seguridad,https://www.argenprop.com/oficina-en-alquiler-en-nordelta-puerta-norte--7875755,"Oficina en Alquiler en Nordelta Puerta Norte, Nordelta"
Casa,Venta,Buenos Aires,Tigre,Nordelta,,3,USD,285000,158 m²,3,,,https://www.argenprop.com/casa-en-venta-en-nordelta-4-ambientes--7566244,"Casa en Venta en Nordelta, Tigre"
Local,Alquiler,Buenos Aires,Tigre,Nordelta,Otros barrios de Nordelta,,$,135000,1,,,,https://www.argenprop.com/local-en-alquiler-en-otros-barrios-de-nordelta--7832776,"Local en Alquiler en Otros barrios de Nordelta, Nordelta"
Departamento,Alquiler Por Temporada,Buenos Aires,Tigre,Nordelta,,1,$,45000,120 m²,1,,,https://www.argenprop.com/departamento-en-alquiler-por-temporada-en-nordelta-2-ambientes--7823777,"Departamento en Alquiler Por Temporada en Nordelta, Tigre"
Terreno,Venta,Buenos Aires,Tigre,Nordelta,,,USD,210000,,,,,https://www.argenprop.com/terreno-en-venta-en-nordelta--7125201,"Terreno en Venta en Nordelta, Tigre"
Terreno,Venta,Buenos Aires,Tigre,Nordelta,,,USD,520000,,,,,https://www.argenprop.com/terreno-en-venta-en-nordelta--6695594,"Terreno en Venta en Nordelta, Tigre"
Oficina,Alquiler,Buenos Aires,Tigre,Nordelta,Nordelta Bahía Grande,,$,14000,40 m²,Con cochera,,,https://www.argenprop.com/oficina-en-alquiler-en-nordelta-bahia-grande--7567872,"Oficina en Alquiler en Nordelta Bahía Grande, Nordelta"
Departamento,Alquiler Por Temporada,Buenos Aires,Tigre,Nordelta,,1,$,35000,40 m²,1,,,https://www.argenprop.com/departamento-en-alquiler-por-temporada-en-nordelta-2-ambientes--7567106,"Departamento en Alquiler Por Temporada en Nordelta, Tigre"
Oficina,Alquiler,Buenos Aires,Tigre,Nordelta,Nordelta Puerta Norte,,$,46300,60 m²,Muy Bueno,Con seguridad,,https://www.argenprop.com/oficina-en-alquiler-en-nordelta-puerta-norte--7865962,"Oficina en Alquiler en Nordelta Puerta Norte, Nordelta"
Departamento,Alquiler Por Temporada,Buenos Aires,Tigre,Nordelta,Nordelta Vista Bahía,1,$,20000,35 m²,5 años,Frente,1,https://www.argenprop.com/departamento-en-alquiler-por-temporada-en-nordelta-vista-bahia-2-ambientes--7795219,"Departamento en Alquiler Por Temporada en Nordelta Vista Bahía, Nordelta"
Local,Alquiler,Buenos Aires,Tigre,Nordelta,,,$,349250,698 m2,,,,https://www.argenprop.com/local-en-alquiler-en-nordelta--7828387,"Local en Alquiler en Nordelta, Tigre"
Local,Alquiler,Buenos Aires,Tigre,Nordelta,,,$,110000,103 m2,,,,https://www.argenprop.com/local-en-alquiler-en-nordelta--7828436,"Local en Alquiler en Nordelta, Tigre"
Local,Alquiler,Buenos Aires,Tigre,Nordelta,Nordelta Bahía Grande,,$,110000,103 m2,,,,https://www.argenprop.com/local-en-alquiler-en-nordelta-bahia-grande--7760456,"Local en Alquiler en Nordelta Bahía Grande, Nordelta"
Terreno,Venta,Buenos Aires,Tigre,Nordelta,Nordelta Castaños,,USD,220000,,,,,https://www.argenprop.com/terreno-en-venta-en-nordelta-castanos--7843964,"Terreno en Venta en Nordelta Castaños, Nordelta"
