_b_tipo_prop,_c_tipo_oper,_d_prov_data,_e_partido_data,_f_localidad_data,_g_barrio_data,_h_dormi,_i_currency,_j_prop_price,_k_sup_prop,_l_old_prop,_m_dispo_prop,_n_bath_amount,_o_link_prop,_z_title
Terreno,Venta,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,La Agustina,,USD,23000,100 m²,,,,https://www.argenprop.com/terreno-en-venta-en-la-agustina--7361855,"Terreno en Venta en La Agustina, Countries y Barrios Cerrados Pilar"
Terreno,Venta,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,Los Teros,,USD,64697,,,,,https://www.argenprop.com/terreno-en-venta-en-los-teros--7846979,"Terreno en Venta en Los Teros, Countries y Barrios Cerrados Pilar"
Casa,Venta,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,La Lomada De Pilar,4,USD,610000,250 m²,10 años,3,Con dependencia,https://www.argenprop.com/casa-en-venta-en-la-lomada-de-pilar-5-ambientes--7798410,"Casa en Venta en La Lomada De Pilar, Countries y Barrios Cerrados Pilar"
Casa,Venta,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,Club de Campo La Emilia,3,USD,160000,129 m²,11 años,3,,https://www.argenprop.com/casa-en-venta-en-club-de-campo-la-emilia--7783647,"Casa en Venta en Club de Campo La Emilia, Countries y Barrios Cerrados Pilar"
Casa,Venta,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,La Lomada De Pilar,5,USD,880000,328 m²,A Estrenar,6,,https://www.argenprop.com/casa-en-venta-en-la-lomada-de-pilar--6746275,"Casa en Venta en La Lomada De Pilar, Countries y Barrios Cerrados Pilar"
Terreno,Venta,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,Bermudas,,USD,70000,21 m,,,,https://www.argenprop.com/terreno-en-venta-en-bermudas--5593030,"Terreno en Venta en Bermudas, Countries y Barrios Cerrados Pilar"
Casa,Venta,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,La cañada de Pilar,3,USD,225000,169 m²,A Estrenar,3,,https://www.argenprop.com/casa-en-venta-en-la-canada-de-pilar--6748499,"Casa en Venta en La cañada de Pilar, Countries y Barrios Cerrados Pilar"
Casa,Venta,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,La Lomada De Pilar,4,USD,870000,343 m²,A Estrenar,4,Con dependencia,https://www.argenprop.com/casa-en-venta-en-la-lomada-de-pilar-10-ambientes--6096803,"Casa en Venta en La Lomada De Pilar, Countries y Barrios Cerrados Pilar"
Casa,Venta,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,Los Sauces,4,USD,235000,"162,45 m²",3,,,https://www.argenprop.com/casa-en-venta-en-los-sauces--5949014,"Casa en Venta en Los Sauces, Countries y Barrios Cerrados Pilar"
Casa,Venta,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,Mayling Club De Campo,4,USD,300000,180 m²,15 años,2,,https://www.argenprop.com/casa-en-venta-en-mayling-club-de-campo-6-ambientes--7327312,"Casa en Venta en Mayling Club De Campo, Countries y Barrios Cerrados Pilar"
Casa,Venta,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,La Herradura,3,USD,255000,150 m²,10 años,3,,https://www.argenprop.com/casa-en-venta-en-la-herradura-4-ambientes--7139606,"Casa en Venta en La Herradura, Countries y Barrios Cerrados Pilar"
Casa,Venta,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,Los Lagartos,3,USD,230000,245 m²,30 años,2,Con dependencia,https://www.argenprop.com/casa-en-venta-en-los-lagartos-4-ambientes--7288424,"Casa en Venta en Los Lagartos, Countries y Barrios Cerrados Pilar"
Casa,Venta,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,Golfers,3,USD,204000,153 m²,2,,,https://www.argenprop.com/casa-en-venta-en-golfers-4-ambientes--7725261,"Casa en Venta en Golfers, Countries y Barrios Cerrados Pilar"
Casa,Venta,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,La Lomada De Pilar,3,USD,475000,258 m²,12 años,2,Con dependencia,https://www.argenprop.com/casa-en-venta-en-la-lomada-de-pilar-5-ambientes--6505632,"Casa en Venta en La Lomada De Pilar, Countries y Barrios Cerrados Pilar"
Departamento,Alquiler,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,Ecoaldea,2,$,33000,80 m²,1 año,2,,https://www.argenprop.com/departamento-en-alquiler-en-ecoaldea-3-ambientes--7258818,"Departamento en Alquiler en Ecoaldea, Countries y Barrios Cerrados Pilar"
Departamento,Venta,Buenos Aires,Pilar,Del Viso,,1,USD,100000,62 m²,1,,,https://www.argenprop.com/departamento-en-venta-en-del-viso-2-ambientes--5901495,"Departamento en Venta en Del Viso, Pilar"
Departamento,Venta,Buenos Aires,Pilar,Del Viso,,1,USD,35000,"41,30 m²",1,,,https://www.argenprop.com/departamento-en-venta-en-del-viso-2-ambientes--7752985,"Departamento en Venta en Del Viso, Pilar"
Terreno,Venta,Buenos Aires,Pilar,Del Viso,,,USD,45000,,,,,https://www.argenprop.com/terreno-en-venta-en-del-viso--7753080,"Terreno en Venta en Del Viso, Pilar"
Local,Venta,Buenos Aires,Pilar,Pilar,,,USD,240000,Shopping,1,338 m²,,https://www.argenprop.com/local-en-venta-en-pilar--5473553,"Local en Venta en Pilar, Buenos Aires"
Casa,Venta,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,Soles Del Pilar,3,USD,220000,155 m²,20 años,2,,https://www.argenprop.com/casa-en-venta-en-soles-del-pilar-4-ambientes--5409010,"Casa en Venta en Soles Del Pilar, Countries y Barrios Cerrados Pilar"
Terreno,Venta,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,Pilar Del Este,,USD,21000,,,,,https://www.argenprop.com/terreno-en-venta-en-pilar-del-este--7327328,"Terreno en Venta en Pilar Del Este, Countries y Barrios Cerrados Pilar"
Terreno,Venta,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,La cañada de Pilar,,USD,45000,,,,,https://www.argenprop.com/terreno-en-venta-en-la-canada-de-pilar--6705531,"Terreno en Venta en La cañada de Pilar, Countries y Barrios Cerrados Pilar"
Departamento,Venta,Buenos Aires,Pilar,Pilar,,1,USD,89000,50 m²,5 años,1,,https://www.argenprop.com/departamento-en-venta-en-pilar-2-ambientes--5352725,"Departamento en Venta en Pilar, Buenos Aires"
Departamento,Alquiler,Buenos Aires,Pilar,Pilar,,1,$,9000,35 m²,Contrafrente,1,,https://www.argenprop.com/departamento-en-alquiler-en-pilar-2-ambientes--922049,"Departamento en Alquiler en Pilar, Buenos Aires"
Casa,Venta,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,Manzanares Chico,3,USD,195000,"95,07 m²",2,,,https://www.argenprop.com/casa-en-venta-en-manzanares-chico--7398269,"Casa en Venta en Manzanares Chico, Countries y Barrios Cerrados Pilar"
Departamento,Venta,Buenos Aires,Pilar,Countries y Barrios Cerrados Pilar,Lagoon Pilar,2,USD,200000,65 m²,A Estrenar,Frente,2,https://www.argenprop.com/departamento-en-venta-en-lagoon-pilar-3-ambientes--7108072,"Departamento en Venta en Lagoon Pilar, Countries y Barrios Cerrados Pilar"
