_b_tipo_prop,_c_tipo_oper,_d_prov_data,_e_partido_data,_f_localidad_data,_g_barrio_data,_h_dormi,_i_currency,_j_prop_price,_k_sup_prop,_l_old_prop,_m_dispo_prop,_n_bath_amount,_o_link_prop,_z_title
Casa,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,2,USD,240000,220 m²,A estrenar,2,,https://www.argenprop.com/casa-en-venta-en-san-fernando-vias-centro-3-ambientes--5931635,"Casa en Venta en San Fernando Vias  /  Centro, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Libertador,2,USD,265000,2,2,,,https://www.argenprop.com/casa-en-venta-en-san-fernando-vias-libertador-4-ambientes--7757198,"Casa en Venta en San Fernando Vias  /  Libertador, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,,1,USD,120000,50 m²,10 años,1,,https://www.argenprop.com/departamento-en-venta-en-san-fernando-2-ambientes--6406089,"Departamento en Venta en San Fernando, Buenos Aires"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,,2,USD,170000,66 m²,Frente,1,,https://www.argenprop.com/departamento-en-venta-en-san-fernando-3-ambientes--6218147,"Departamento en Venta en San Fernando, Buenos Aires"
Departamento,Alquiler,Buenos Aires,San Fernando,San Fernando,,2,$,60000,130 m²,1 año,Frente,2,https://www.argenprop.com/departamento-en-alquiler-en-san-fernando-3-ambientes--7752095,"Departamento en Alquiler en San Fernando, Buenos Aires"
Casa,Venta,Buenos Aires,San Fernando,Countries y Barrios Cerrados San Fernando,,4,USD,340000,170 m²,59 años,2,,https://www.argenprop.com/casa-en-venta-en-countries-y-barrios-cerrados-san-fernando--7626839,"Casa en Venta en Countries y Barrios Cerrados San Fernando, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,Victoria,,1,USD,145100,72 m²,Frente,1,,https://www.argenprop.com/departamento-en-venta-en-victoria-2-ambientes--7551646,"Departamento en Venta en Victoria, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,Victoria,,2,USD,145100,72 m²,Interno,1,,https://www.argenprop.com/departamento-en-venta-en-victoria-3-ambientes--7551559,"Departamento en Venta en Victoria, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,,1,USD,99500,1,1,,,https://www.argenprop.com/departamento-en-venta-en-san-fernando-2-ambientes--7260390,"Departamento en Venta en San Fernando, Buenos Aires"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,,1,USD,90000,1,Frente,1,,https://www.argenprop.com/departamento-en-venta-en-san-fernando-2-ambientes--6025107,"Departamento en Venta en San Fernando, Buenos Aires"
Departamento,Venta,Buenos Aires,San Fernando,Victoria,,1,USD,117400,58 m²,Frente,1,,https://www.argenprop.com/departamento-en-venta-en-victoria-2-ambientes--7551592,"Departamento en Venta en Victoria, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,Victoria,,1,USD,117400,59 m²,Frente,1,,https://www.argenprop.com/departamento-en-venta-en-victoria-2-ambientes--7551645,"Departamento en Venta en Victoria, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,Victoria,,1,USD,123900,58 m²,Apto Profesional,Frente,1,https://www.argenprop.com/departamento-en-venta-en-victoria-2-ambientes--7551543,"Departamento en Venta en Victoria, San Fernando"
Local,Alquiler,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,,$,37000,28 m2,,,,https://www.argenprop.com/local-en-alquiler-en-san-fernando-vias-centro--7807695,"Local en Alquiler en San Fernando Vias  /  Centro, San Fernando"
Departamento,Alquiler,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,2,$,25000,85 m²,A Estrenar,1,,https://www.argenprop.com/departamento-en-alquiler-en-san-fernando-vias-centro-3-ambientes--7294580,"Departamento en Alquiler en San Fernando Vias  /  Centro, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,Victoria,,3,USD,298000,128 m²,40 años,2,,https://www.argenprop.com/casa-en-venta-en-victoria-4-ambientes--7757122,"Casa en Venta en Victoria, San Fernando"
Ph,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Santa Clara,2,USD,274000,134 m²,A Estrenar,2,,https://www.argenprop.com/ph-en-venta-en-san-fernando-santa-clara-5-ambientes--7757163,"Ph en Venta en San Fernando Santa Clara, San Fernando"
Galpon,Venta,Buenos Aires,San Fernando,San Fernando,,,USD,230000,230 m²,,,,https://www.argenprop.com/galpon-en-venta-en-san-fernando--6406373,"Galpón en Venta en San Fernando, Buenos Aires"
Casa,Venta,Buenos Aires,San Fernando,Victoria,Victoria Barrio Centro,2,USD,325000,105 m²,A Estrenar,1,,https://www.argenprop.com/casa-en-venta-en-victoria-barrio-centro-3-ambientes--7757177,"Casa en Venta en Victoria Barrio Centro, Victoria"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,Punta Chica,1,USD,265000,60 m²,8 años,Frente,2,https://www.argenprop.com/departamento-en-venta-en-punta-chica-2-ambientes--7757171,"Departamento en Venta en Punta Chica, San Fernando"
Casa,Venta,Buenos Aires,San Fernando,Victoria,,3,USD,220000,111 m²,50 años,1,,https://www.argenprop.com/casa-en-venta-en-victoria-4-ambientes--7757172,"Casa en Venta en Victoria, San Fernando"
Departamento,Venta,Buenos Aires,San Fernando,San Fernando,San Fernando Vias  /  Centro,2,USD,95000,60 m²,15 años,1,,https://www.argenprop.com/departamento-en-venta-en-san-fernando-vias-centro-3-ambientes--7771689,"Departamento en Venta en San Fernando Vias  /  Centro, San Fernando"
Departamento,Alquiler,Buenos Aires,San Fernando,Countries y Barrios Cerrados San Fernando,Marina Del Sol,2,USD,1000,115 m²,10 años,Frente,2,https://www.argenprop.com/departamento-en-alquiler-en-marina-del-sol-4-ambientes--7394663,"Departamento en Alquiler en Marina Del Sol, Countries y Barrios Cerrados San Fernando"
