_b_tipo_prop,_c_tipo_oper,_d_prov_data,_e_partido_data,_f_localidad_data,_g_barrio_data,_h_dormi,_i_currency,_j_prop_price,_k_sup_prop,_l_old_prop,_m_dispo_prop,_n_bath_amount,_o_link_prop,_z_title
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,106000,44 m²,A Estrenar,Lateral,1,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--6107111,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Maipu/Uzal,1,USD,165000,63 m²,50 años,Lateral,1,https://www.argenprop.com/departamento-en-venta-en-olivos-maipu-uzal-3-ambientes--7762928,"Departamento en Venta en Olivos Maipu/Uzal, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,2,USD,530000,93 m²,10 años,2,,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-3-ambientes--7930228,"Departamento en Venta en Olivos Vias/Rio, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,3,USD,690000,119 m²,A Estrenar,Frente,4,https://www.argenprop.com/departamento-en-venta-en-olivos-4-ambientes--5478581,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,2,USD,439000,109 m²,10 años,Frente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-3-ambientes--6432300,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,205000,62 m²,Contrafrente,2,,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--6255218,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,109000,45 m²,60 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--6494685,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,2,USD,649000,2,2,,,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-3-ambientes--6214803,"Departamento en Venta en Olivos Vias/Rio, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,2,USD,175000,2,Contrafrente,1,,https://www.argenprop.com/departamento-en-venta-en-olivos-3-ambientes--6089148,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,1,USD,110000,32 m²,30 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-2-ambientes--7607568,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,1,USD,550000,76 m²,1 año,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-2-ambientes--7123772,"Departamento en Venta en Olivos Vias/Rio, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,2,USD,240000,2,2,,,https://www.argenprop.com/departamento-en-venta-en-olivos-3-ambientes--7830586,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,1,USD,208000,59 m²,A Estrenar,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-2-ambientes--6525867,"Departamento en Venta en Olivos Vias/Maipu, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Maipu,2,USD,111700,64 m²,A Estrenar,Contrafrente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-maipu-3-ambientes--7551791,"Departamento en Venta en Olivos Vias/Maipu, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,3,USD,270000,3,2,,,https://www.argenprop.com/departamento-en-venta-en-olivos-4-ambientes--7926844,"Departamento en Venta en Olivos, Vicente Lopez"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,Olivos Vias/Rio,3,USD,510000,102 m²,8 años,Frente,2,https://www.argenprop.com/departamento-en-venta-en-olivos-vias-rio-4-ambientes--6517064,"Departamento en Venta en Olivos Vias/Rio, Olivos"
Departamento,Venta,Buenos Aires,Vicente Lopez,Olivos,,,USD,110000,32 m²,30 años,Frente,1,https://www.argenprop.com/departamento-en-venta-en-olivos-1-ambiente--6456111,"Departamento en Venta en Olivos, Vicente Lopez"
